run_id,axis,variant,k,seed,layer,period,share_pct
B_k10_s42,B_k,k10,10,42,technology,2019-2022,21.015551512132838
B_k10_s42,B_k,k10,10,42,technology,2023-2026,32.479005152765694
B_k10_s42,B_k,k10,10,42,meta,2007-2014,0.41674180841558456
B_k10_s42,B_k,k10,10,42,meta,2015-2018,2.431703668735281
B_k10_s42,B_k,k10,10,42,meta,2019-2022,3.73113365288494
B_k10_s42,B_k,k10,10,42,meta,2023-2026,9.336857803422543
B_k10_s7,B_k,k10,10,7,operational,2007-2014,52.769422646876286
B_k10_s7,B_k,k10,10,7,operational,2015-2018,48.25040180203359
B_k10_s7,B_k,k10,10,7,operational,2019-2022,31.480642305420286
B_k10_s7,B_k,k10,10,7,operational,2023-2026,20.486145821125014
B_k10_s7,B_k,k10,10,7,institutional,2007-2014,36.4043246755197
B_k10_s7,B_k,k10,10,7,institutional,2015-2018,34.18849706860783
B_k10_s7,B_k,k10,10,7,institutional,2019-2022,41.635693647347374
B_k10_s7,B_k,k10,10,7,institutional,2023-2026,41.43981110520751
B_k10_s7,B_k,k10,10,7,technology,2007-2014,7.010674267318488
B_k10_s7,B_k,k10,10,7,technology,2015-2018,11.154741849095444
B_k10_s7,B_k,k10,10,7,technology,2019-2022,14.71432207706837
B_k10_s7,B_k,k10,10,7,technology,2023-2026,26.90029609331077
B_k10_s7,B_k,k10,10,7,meta,2007-2014,3.8155776335770497
B_k10_s7,B_k,k10,10,7,meta,2015-2018,6.406358897547762
B_k10_s7,B_k,k10,10,7,meta,2019-2022,12.169344349968014
B_k10_s7,B_k,k10,10,7,meta,2023-2026,11.173747886588597
B_k10_s99,B_k,k10,10,99,operational,2007-2014,44.58658260300581
B_k10_s99,B_k,k10,10,99,operational,2015-2018,54.16565433388314
B_k10_s99,B_k,k10,10,99,operational,2019-2022,32.6516689841891
B_k10_s99,B_k,k10,10,99,operational,2023-2026,27.029853920468366
B_k10_s99,B_k,k10,10,99,institutional,2007-2014,37.62611063848453
B_k10_s99,B_k,k10,10,99,institutional,2015-2018,29.371809425847463
B_k10_s99,B_k,k10,10,99,institutional,2019-2022,44.38251778179417
B_k10_s99,B_k,k10,10,99,institutional,2023-2026,48.94703399010041
B_k10_s99,B_k,k10,10,99,technology,2007-2014,17.787308692156024
B_k10_s99,B_k,k10,10,99,technology,2015-2018,16.462536148155777
B_k10_s99,B_k,k10,10,99,technology,2019-2022,22.965814826505568
B_k10_s99,B_k,k10,10,99,technology,2023-2026,24.023114075710815
B_k10_s99,B_k,k10,10,99,meta,2007-2014,0.0
B_k10_s99,B_k,k10,10,99,meta,2015-2018,0.0
B_k10_s99,B_k,k10,10,99,meta,2019-2022,0.0
B_k10_s99,B_k,k10,10,99,meta,2023-2026,0.0
B_k14_s13,B_k,k14,14,13,operational,2007-2014,58.77430124589106
B_k14_s13,B_k,k14,14,13,operational,2015-2018,47.49029840751973
B_k14_s13,B_k,k14,14,13,operational,2019-2022,34.37740346602772
B_k14_s13,B_k,k14,14,13,operational,2023-2026,31.873478753285173
B_k14_s13,B_k,k14,14,13,institutional,2007-2014,23.961452464512455
B_k14_s13,B_k,k14,14,13,institutional,2015-2018,25.160985715756397
B_k14_s13,B_k,k14,14,13,institutional,2019-2022,35.90065202143806
B_k14_s13,B_k,k14,14,13,institutional,2023-2026,40.770335632335744
B_k14_s13,B_k,k14,14,13,technology,2007-2014,10.933942044296902
B_k14_s13,B_k,k14,14,13,technology,2015-2018,22.023156905252108
B_k14_s13,B_k,k14,14,13,technology,2019-2022,22.629057451688116
B_k14_s13,B_k,k14,14,13,technology,2023-2026,19.150817293882483
B_k14_s13,B_k,k14,14,13,meta,2007-2014,6.330305404844694
B_k14_s13,B_k,k14,14,13,meta,2015-2018,5.32556221491177
B_k14_s13,B_k,k14,14,13,meta,2019-2022,7.092891198230468
B_k14_s13,B_k,k14,14,13,meta,2023-2026,8.20536982023441
B_k14_s21,B_k,k14,14,21,operational,2007-2014,48.59873765168838
B_k14_s21,B_k,k14,14,21,operational,2015-2018,49.071228769043955
