doc_id,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,authors,year,title
doc034,0.10098221898078918,0.030330125242471695,6.983342609601095e-05,6.983504863455892e-05,0.143642395734787,6.983629282331094e-05,6.983128696447238e-05,6.983272760407999e-05,6.983292405493557e-05,0.25692522525787354,0.4676313102245331,6.983501225477085e-05,González-Cancelas et al.,2025,Key Factors for the Implementation of the Metaverse in Spanish Ports An Evaluation Based on a Prior
doc035,0.08840953558683395,0.11068986356258392,0.06160430610179901,5.254306233837269e-05,5.254794450593181e-05,5.254074130789377e-05,5.254221468931064e-05,5.2541206969181076e-05,0.07610258460044861,0.5518954396247864,0.11098302900791168,5.253966446616687e-05,González-Solano et al.,2025,Prioritizing port resilience drivers and strategies a case study of Chilean ports
doc036,4.056878242408857e-05,4.05701830459293e-05,0.02623843029141426,4.056974648847245e-05,0.10774417966604233,4.056970647070557e-05,0.032731957733631134,4.05675164074637e-05,0.06764476746320724,0.7653566002845764,4.057122714584693e-05,4.057070327689871e-05,Gonçalves et al.,2025,Data Storytelling and Decision-Making in Seaport Operations A New Approach Based on Business Intell
doc037,5.7403820392210037e-05,5.740241249441169e-05,5.740907363360748e-05,5.740390042774379e-05,5.7405824918532744e-05,5.740149936173111e-05,5.7402619859203696e-05,5.740447522839531e-05,0.013388351537287235,5.741025961469859e-05,0.9860376119613647,5.741045606555417e-05,Gracia et al.,2022,Assessing the implementation of governance best practices by Latin American ports
doc038,0.4903479814529419,7.374121923930943e-05,7.373937842203304e-05,7.373581320280209e-05,7.372943946393207e-05,7.374396227532998e-05,0.15095172822475433,0.06078600883483887,0.29732441902160645,7.373270636890084e-05,7.373461266979575e-05,7.372780964942649e-05,Gróbarczyk,2025,Port Community System (PCS) as a digital platform for autonomous ships A Polish perspective
doc039,0.778374969959259,9.230948489857838e-05,9.230925934389234e-05,0.11894667148590088,9.230450086761266e-05,9.23137049539946e-05,9.23088300623931e-05,9.230837895302102e-05,0.10184765607118607,9.230284194927663e-05,9.231254080077633e-05,9.231107105733827e-05,Gustafsson,2007,"Interaction between Transport, Infrastructure, and Institutional Management Case Study of a Port Co"
doc040,0.20197877287864685,6.652121373917907e-05,6.652198499068618e-05,6.651842704741284e-05,6.652009324170649e-05,6.652776210103184e-05,0.7973561882972717,6.652336742263287e-05,6.652800220763311e-05,6.651623698417097e-05,6.651658623013645e-05,6.652372394455597e-05,Hagaseth et al.,2023,A New Architectural Framework for Digitalization of Maritime Intelligent Transport Systems
doc041,0.02504405565559864,0.04126559942960739,0.024759065359830856,0.07196839898824692,0.26542234420776367,0.06046849861741066,0.27070093154907227,0.01734807714819908,0.13547071814537048,0.040293168276548386,0.013247096911072731,0.03401193767786026,Heilig e Voss,2017,Information systems in seaports a categorization and overview
doc042,0.07612989097833633,4.0563856600783765e-05,0.04663319140672684,4.0563794755144045e-05,4.056276520714164e-05,0.011869329959154129,4.0565319068264216e-05,4.056686157127842e-05,4.056519173900597e-05,0.8469943404197693,0.018089154735207558,4.0562881622463465e-05,Hsu et al.,2023,Key factors for the success of smart ports during the post-pandemic era
doc043,6.954409036552534e-05,6.953977572266012e-05,6.953763659112155e-05,0.13664428889751434,0.005783193279057741,0.2306714951992035,6.954099808353931e-05,0.06041388958692551,0.5098011493682861,6.953832053113729e-05,0.05279959738254547,0.0035386348608881235,Iida e Watanabe,2023,Focal points for the development and operation of port community System-A - A case study of developm
doc044,3.101448237430304e-05,0.2138873189687729,0.015208150260150433,0.06865577399730682,3.101457696175203e-05,0.7020004987716675,3.1013129046186805e-05,3.101468973909505e-05,3.101480979239568e-05,3.101355832768604e-05,3.101519541814923e-05,3.1015581043902785e-05,Irannezhad,2020,The Architectural Design Requirements of a Blockchain-Based Port Community System
